"name","geo_place_name","geo_type_name","start_date","data_value"
"Asthma emergency department visits due to PM2.5","Canarsie - Flatlands","UHF42","2009-01-01","81.7"
"Asthma emergency department visits due to PM2.5","Southwest Queens","UHF42","2009-01-01","80"
"Asthma emergency department visits due to PM2.5","East Flatbush - Flatbush","UHF42","2009-01-01","115.8"
"Asthma emergency department visits due to PM2.5","Jamaica","UHF42","2015-01-01","69.6"
"Asthma emergency department visits due to PM2.5","Southwest Queens","UHF42","2015-01-01","43"
"Asthma emergency department visits due to PM2.5","Washington Heights","UHF42","2015-01-01","81.6"
"Asthma emergency department visits due to PM2.5","Bayside - Little Neck","UHF42","2012-01-02","13.4"
"Asthma emergency department visits due to PM2.5","Bayside - Little Neck","UHF42","2009-01-01","22.1"
"Asthma emergency department visits due to PM2.5","Rockaways","UHF42","2012-01-02","57.9"
"Asthma emergency department visits due to PM2.5","Southeast Queens","UHF42","2015-01-01","39.5"
"Asthma emergency department visits due to PM2.5","Lower Manhattan","UHF42","2009-01-01","57.2"
"Asthma emergency department visits due to PM2.5","Manhattan","Borough","2009-01-01","144.3"
"Asthma emergency department visits due to PM2.5","Southeast Queens","UHF42","2005-01-01","73.8"
"Asthma emergency department visits due to PM2.5","Coney Island - Sheepshead Bay","UHF42","2012-01-02","29.4"
"Asthma emergency department visits due to PM2.5","Chelsea - Clinton","UHF42","2015-01-01","53.6"
"Asthma emergency department visits due to PM2.5","Chelsea - Clinton","UHF42","2009-01-01","88.6"
"Asthma emergency department visits due to PM2.5","Downtown - Heights - Slope","UHF42","2009-01-01","89.1"
"Asthma emergency department visits due to PM2.5","Gramercy Park - Murray Hill","UHF42","2015-01-01","16.5"
"Asthma emergency department visits due to PM2.5","Greenwich Village - SoHo","UHF42","2012-01-02","7.2"
"Asthma emergency department visits due to PM2.5","East Flatbush - Flatbush","UHF42","2009-01-01","57.9"
"Asthma emergency department visits due to PM2.5","Hunts Point - Mott Haven","UHF42","2009-01-01","138.1"
"Asthma emergency department visits due to PM2.5","Southwest Queens","UHF42","2017-01-01","16"
"Asthma emergency department visits due to PM2.5","Canarsie - Flatlands","UHF42","2015-01-01","31.4"
"Asthma emergency department visits due to PM2.5","Brooklyn","Borough","2015-01-01","34.9"
"Asthma emergency department visits due to PM2.5","Hunts Point - Mott Haven","UHF42","2015-01-01","104.6"
"Asthma emergency department visits due to PM2.5","East Flatbush - Flatbush","UHF42","2015-01-01","41.9"
"Asthma emergency department visits due to PM2.5","East Flatbush - Flatbush","UHF42","2012-01-02","49.9"
"Asthma emergency department visits due to PM2.5","Southeast Queens","UHF42","2012-01-02","53.8"
"Asthma emergency department visits due to PM2.5","Central Harlem - Morningside Heights","UHF42","2009-01-01","291.1"
"Asthma emergency department visits due to PM2.5","Downtown - Heights - Slope","UHF42","2017-01-01","43"
"Asthma emergency department visits due to PM2.5","Chelsea - Clinton","UHF42","2005-01-01","139.1"
"Asthma emergency department visits due to PM2.5","West Queens","UHF42","2017-01-01","12"
"Asthma emergency department visits due to PM2.5","Upper East Side","UHF42","2015-01-01","18.6"
