Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,12/01/2011,8.6
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,12/01/2011,8.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,06/01/2022,6.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,06/01/2012,10.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,06/01/2013,9.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,06/01/2013,9.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,06/01/2012,9.6
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,06/01/2021,7.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,12/01/2012,8.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,12/01/2012,8.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,01/01/2017,6.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,01/01/2017,6.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,06/01/2009,10.6
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,01/01/2017,7.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,06/01/2016,6.9
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,06/01/2011,10.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,06/01/2012,9.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,12/31/2015,7.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,06/01/2013,9.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,12/31/2015,6.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,12/01/2021,6.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,12/01/2011,9.7
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,06/01/2012,12.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,06/01/2013,12.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,12/01/2014,8.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,06/01/2009,10.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,01/01/2021,7.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,01/01/2021,6.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,12/01/2012,10.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,12/01/2010,14.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,12/01/2015,7.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,06/01/2011,11.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,12/01/2021,7.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,06/01/2012,11.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,12/31/2015,8.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,06/01/2013,11.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,01/01/2018,7.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,06/01/2021,8.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,06/01/2012,9.7
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,12/31/2015,7.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,06/01/2021,9.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,06/01/2012,10.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,06/01/2013,10.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,12/01/2021,6.7
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,06/01/2021,8.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,12/01/2021,7.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409.0,Southeast Queens,12/01/2014,8.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,06/01/2021,8.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,01/01/2017,7.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408.0,Jamaica,01/01/2021,6.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,01/01/2017,10.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,01/01/2021,8.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107.0,Hunts Point - Mott Haven,01/01/2018,7.9
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,01/01/2018,10.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407.0,Southwest Queens,01/01/2018,6.6
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308.0,Greenwich Village - SoHo,06/01/2013,12.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308.0,Greenwich Village - SoHo,06/01/2021,10.2
Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,06/01/2012,10.4
Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,06/01/2013,10.3
Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,12/31/2015,7.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,12/01/2021,6.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202.0,Downtown - Heights - Slope,12/01/2014,10.1
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202.0,Downtown - Heights - Slope,01/01/2017,8.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,12/01/2012,9.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,06/01/2009,11.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,01/01/2017,7.8
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102.0,Northeast Bronx,12/01/2010,13.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,06/01/2014,12.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,06/01/2013,10.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,01/01/2017,9.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,06/01/2013,11.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,12/01/2021,7.4
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,12/01/2021,7.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501.0,Port Richmond,12/31/2015,7.3
Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101.0,Kingsbridge - Riverdale,01/01/2018,7.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209.0,Bensonhurst - Bay Ridge,12/01/2014,8.5
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,12/01/2014,10.0
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,01/01/2017,8.2
Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,12/01/2012,9.4
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),01/01/2017,7.5
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),01/01/2021,6.5
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),12/01/2010,13.1
Fine particles (PM 2.5),Mean,mcg/m3,CD,212.0,Williamsbridge and Baychester (CD12),06/01/2009,10.2
Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),06/01/2021,8.4
Fine particles (PM 2.5),Mean,mcg/m3,CD,412.0,Jamaica and Hollis (CD12),12/01/2021,6.6
Fine particles (PM 2.5),Mean,mcg/m3,CD,410.0,South Ozone Park and Howard Beach (CD10),12/31/2015,6.9
