GeoID,Year,PM2.5,AsthmaRate,RespiratoryRate
209.0,2012,10.0,18.1,8.9
209.0,2012,10.0,10.4,8.9
409.0,2012,9.6,53.8,6.9
409.0,2012,9.6,21.9,6.9
209.0,2012,8.2,18.1,8.9
209.0,2012,8.2,10.4,8.9
210.0,2012,8.1,29.4,13.7
210.0,2012,8.1,17.9,13.7
409.0,2017,6.8,11.0,3.0
409.0,2017,6.8,35.0,3.0
210.0,2017,6.8,30.0,10.0
210.0,2017,6.8,18.0,10.0
209.0,2009,10.6,20.7,10.4
209.0,2009,10.6,11.3,10.4
209.0,2017,7.1,14.0,6.0
209.0,2017,7.1,8.0,6.0
410.0,2012,9.4,57.9,10.2
410.0,2012,9.4,42.3,10.2
209.0,2015,7.1,16.8,8.9
209.0,2015,7.1,8.5,8.9
410.0,2015,6.0,39.0,16.9
410.0,2015,6.0,55.0,16.9
211.0,2012,12.3,97.2,15.9
211.0,2012,12.3,165.3,15.9
104.0,2009,10.4,121.9,19.7
104.0,2009,10.4,57.5,19.7
304.0,2012,10.4,63.9,10.2
304.0,2012,10.4,23.5,10.2
404.0,2015,7.4,12.2,8.2
404.0,2015,7.4,4.9,8.2
304.0,2012,11.4,63.9,10.2
304.0,2012,11.4,23.5,10.2
304.0,2015,8.5,23.2,8.5
304.0,2015,8.5,51.9,8.5
204.0,2012,9.7,141.6,14.0
204.0,2012,9.7,84.9,14.0
204.0,2015,7.8,71.4,13.2
204.0,2015,7.8,118.4,13.2
104.0,2012,10.3,58.8,13.9
104.0,2012,10.3,133.9,13.9
208.0,2017,7.0,55.0,8.0
208.0,2017,7.0,27.0,8.0
307.0,2017,10.3,35.0,5.0
307.0,2017,10.3,12.0,5.0
2.0,2012,10.4,44.2,11.5
2.0,2012,10.4,81.8,11.5
2.0,2015,7.8,34.9,10.5
2.0,2015,7.8,62.5,10.5
202.0,2017,8.4,43.0,6.0
202.0,2017,8.4,23.0,6.0
301.0,2012,9.5,111.6,10.5
301.0,2012,9.5,40.4,10.5
301.0,2009,11.0,138.5,12.5
301.0,2009,11.0,44.5,12.5
301.0,2017,7.8,62.0,6.0
301.0,2017,7.8,23.0,6.0
201.0,2017,9.0,14.0,4.0
201.0,2017,9.0,21.0,4.0
501.0,2015,7.3,45.6,17.4
501.0,2015,7.3,66.9,17.4
211.0,2017,8.2,88.0,8.0
211.0,2017,8.2,51.0,8.0
211.0,2012,9.4,97.2,15.9
211.0,2012,9.4,165.3,15.9
210.0,2017,7.5,30.0,10.0
210.0,2017,7.5,18.0,10.0
410.0,2015,6.9,39.0,16.9
410.0,2015,6.9,55.0,16.9
211.0,2015,9.6,107.9,11.0
211.0,2015,9.6,67.3,11.0
207.0,2012,9.4,49.9,10.6
207.0,2012,9.4,102.4,10.6
307.0,2012,9.2,57.6,8.9
307.0,2012,9.2,24.0,8.9
207.0,2012,10.6,49.9,10.6
207.0,2012,10.6,102.4,10.6
107.0,2012,11.4,233.2,25.5
107.0,2012,11.4,130.6,25.5
107.0,2009,12.1,138.1,30.2
107.0,2009,12.1,251.3,30.2
303.0,2015,8.1,215.5,20.3
303.0,2015,8.1,111.6,20.3
403.0,2017,7.2,6.0,5.0
403.0,2017,7.2,25.0,5.0
204.0,2012,10.0,141.6,14.0
204.0,2012,10.0,84.9,14.0
103.0,2017,8.4,112.0,11.0
103.0,2017,8.4,49.0,11.0
203.0,2017,7.9,107.0,8.0
203.0,2017,7.9,55.0,8.0
410.0,2009,10.0,47.8,18.8
410.0,2009,10.0,111.8,18.8
410.0,2012,8.0,57.9,10.2
410.0,2012,8.0,42.3,10.2
410.0,2017,6.8,33.0,10.0
410.0,2017,6.8,46.0,10.0
104.0,2009,10.4,121.9,19.7
104.0,2009,10.4,57.5,19.7
203.0,2017,7.5,107.0,8.0
203.0,2017,7.5,55.0,8.0
209.0,2015,8.1,16.8,8.9
209.0,2015,8.1,8.5,8.9
202.0,2012,9.8,35.8,10.2
202.0,2012,9.8,76.9,10.2
202.0,2009,11.5,89.1,13.1
202.0,2009,11.5,40.7,13.1
402.0,2015,9.3,60.2,8.6
402.0,2015,9.3,14.7,8.6
202.0,2012,11.2,35.8,10.2
202.0,2012,11.2,76.9,10.2
305.0,2012,12.1,24.4,8.4
305.0,2012,12.1,8.0,8.4
403.0,2012,10.1,29.3,8.9
403.0,2012,10.1,9.6,8.9
403.0,2009,10.2,38.0,11.3
403.0,2009,10.2,9.3,11.3
305.0,2009,12.9,35.5,9.2
305.0,2009,12.9,9.4,9.2
107.0,2012,10.4,233.2,25.5
107.0,2012,10.4,130.6,25.5
307.0,2009,11.5,69.7,8.6
307.0,2009,11.5,20.7,8.6
307.0,2017,8.2,35.0,5.0
307.0,2017,8.2,12.0,5.0
211.0,2017,9.4,88.0,8.0
211.0,2017,9.4,51.0,8.0
404.0,2017,7.6,10.0,2.0
404.0,2017,7.6,2.0,2.0
102.0,2012,8.7,57.7,14.2
102.0,2012,8.7,139.9,14.2
102.0,2015,8.3,108.6,15.4
102.0,2015,8.3,48.4,15.4
202.0,2012,11.1,35.8,10.2
202.0,2012,11.1,76.9,10.2
302.0,2015,8.0,193.1,14.9
302.0,2015,8.0,95.1,14.9
302.0,2012,11.1,253.1,16.5
302.0,2012,11.1,116.4,16.5
402.0,2015,8.1,60.2,8.6
402.0,2015,8.1,14.7,8.6
410.0,2012,7.6,57.9,10.2
410.0,2012,7.6,42.3,10.2
410.0,2017,6.3,33.0,10.0
410.0,2017,6.3,46.0,10.0
209.0,2009,10.6,20.7,10.4
209.0,2009,10.6,11.3,10.4
209.0,2012,8.9,18.1,8.9
209.0,2012,8.9,10.4,8.9
409.0,2009,10.4,27.4,10.0
409.0,2009,10.4,70.5,10.0
409.0,2012,10.1,53.8,6.9
409.0,2012,10.1,21.9,6.9
