"name","geo_place_name","geo_type_name","start_date","data_value"
"Nitrogen dioxide (NO2)","Bensonhurst - Bay Ridge","UHF42","2012-12-01","18.6"
"Nitrogen dioxide (NO2)","Bensonhurst - Bay Ridge","UHF42","2017-01-01","17.7"
"Nitrogen dioxide (NO2)","Southeast Queens","UHF42","2010-12-01","25.7"
"Nitrogen dioxide (NO2)","Southeast Queens","UHF42","2009-06-01","16.1"
"Nitrogen dioxide (NO2)","Rockaways","UHF42","2017-01-01","12.7"
"Nitrogen dioxide (NO2)","Rockaways","UHF42","2021-01-01","11.4"
"Nitrogen dioxide (NO2)","Rockaways","UHF42","2009-06-01","8.6"
"Nitrogen dioxide (NO2)","Rockaways","UHF42","2014-12-01","20.7"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2010-12-01","33.7"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2012-12-01","26.5"
"Nitrogen dioxide (NO2)","Bayside - Little Neck","UHF42","2010-12-01","26.2"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF42","2009-06-01","23.1"
"Nitrogen dioxide (NO2)","Bayside - Little Neck","UHF42","2017-01-01","16.6"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF42","2021-01-01","19"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2017-01-01","23.4"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2011-12-01","27.1"
"Nitrogen dioxide (NO2)","Canarsie - Flatlands","UHF42","2017-01-01","15.6"
"Nitrogen dioxide (NO2)","Gramercy Park - Murray Hill","UHF42","2017-01-01","30.3"
"Nitrogen dioxide (NO2)","Jamaica","UHF42","2012-12-01","19"
"Nitrogen dioxide (NO2)","Greenwich Village - SoHo","UHF42","2009-06-01","31.6"
"Nitrogen dioxide (NO2)","Greenwich Village - SoHo","UHF42","2014-12-01","30.2"
"Nitrogen dioxide (NO2)","Greenwich Village - SoHo","UHF42","2017-01-01","25.6"
"Nitrogen dioxide (NO2)","Southwest Queens","UHF42","2009-06-01","18.6"
"Nitrogen dioxide (NO2)","Jamaica","UHF42","2022-06-01","10.5"
"Nitrogen dioxide (NO2)","Gramercy Park - Murray Hill","UHF42","2015-12-31","30.1"
"Nitrogen dioxide (NO2)","Jamaica","UHF42","2012-06-01","16.2"
"Nitrogen dioxide (NO2)","Greenwich Village - SoHo","UHF42","2021-06-01","17.9"
"Nitrogen dioxide (NO2)","Greenwich Village - SoHo","UHF42","2021-12-01","24.7"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2017-01-01","21.2"
"Nitrogen dioxide (NO2)","Washington Heights","UHF42","2017-01-01","20.6"
"Nitrogen dioxide (NO2)","Long Island City - Astoria","UHF42","2010-12-01","31.5"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2022-06-01","14.1"
"Nitrogen dioxide (NO2)","Washington Heights","UHF42","2022-06-01","13.5"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2021-12-01","23.7"
"Nitrogen dioxide (NO2)","Washington Heights","UHF42","2015-12-31","19.9"
"Nitrogen dioxide (NO2)","Washington Heights","UHF42","2021-12-01","21.2"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2012-12-01","22.9"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2010-12-01","32.2"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2014-12-01","26.8"
"Nitrogen dioxide (NO2)","East New York","UHF42","2022-06-01","10.9"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2015-12-31","23.2"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2018-01-01","22.2"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2021-06-01","15.7"
"Nitrogen dioxide (NO2)","Pelham - Throgs Neck","UHF42","2015-12-31","17.9"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF42","2018-01-01","21"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2021-12-01","22.1"
"Nitrogen dioxide (NO2)","Pelham - Throgs Neck","UHF42","2021-12-01","21.8"
"Nitrogen dioxide (NO2)","Southwest Queens","UHF42","2013-06-01","16.6"
"Nitrogen dioxide (NO2)","Southwest Queens","UHF42","2018-01-01","17.2"
"Nitrogen dioxide (NO2)","Brooklyn","Borough","2017-01-01","18.5"
"Nitrogen dioxide (NO2)","East Flatbush - Flatbush","UHF42","2009-06-01","21.4"
"Nitrogen dioxide (NO2)","Canarsie - Flatlands","UHF42","2015-12-01","20.9"
"Nitrogen dioxide (NO2)","Jamaica","UHF42","2010-06-01","17.9"
"Nitrogen dioxide (NO2)","Jamaica","UHF42","2016-06-01","13.1"
"Nitrogen dioxide (NO2)","Gramercy Park - Murray Hill","UHF42","2020-12-01","27"
"Nitrogen dioxide (NO2)","Canarsie - Flatlands","UHF42","2020-12-01","21.2"
"Nitrogen dioxide (NO2)","East Flatbush - Flatbush","UHF42","2010-06-01","19"
"Nitrogen dioxide (NO2)","Gramercy Park - Murray Hill","UHF42","2021-06-01","20.2"
"Nitrogen dioxide (NO2)","Jamaica","UHF42","2008-12-01","22.3"
"Nitrogen dioxide (NO2)","Bushwick (CD4)","CD","2019-12-01","27.7"
"Nitrogen dioxide (NO2)","Elmhurst and Corona (CD4)","CD","2012-12-01","26.7"
"Nitrogen dioxide (NO2)","Bushwick (CD4)","CD","2015-06-01","15.5"
"Nitrogen dioxide (NO2)","Port Richmond","UHF42","2014-12-01","22.7"
"Nitrogen dioxide (NO2)","Washington Heights","UHF42","2015-12-01","23.4"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2011-06-01","21.3"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2015-12-31","21.4"
"Nitrogen dioxide (NO2)","Jamaica and Hollis (CD12)","CD","2012-12-01","23.1"
"Nitrogen dioxide (NO2)","Jamaica and Hollis (CD12)","CD","2009-12-01","21.3"
"Nitrogen dioxide (NO2)","Jamaica and Hollis (CD12)","CD","2019-06-01","13.3"
"Nitrogen dioxide (NO2)","Jamaica and Hollis (CD12)","CD","2019-12-01","22.3"
"Nitrogen dioxide (NO2)","Williamsbridge and Baychester (CD12)","CD","2012-12-01","22"
"Nitrogen dioxide (NO2)","Throgs Neck and Co-op City (CD10)","CD","2009-12-01","19.8"
"Nitrogen dioxide (NO2)","Throgs Neck and Co-op City (CD10)","CD","2012-12-01","21"
"Nitrogen dioxide (NO2)","Southeast Queens","UHF42","2012-12-01","16.8"
"Nitrogen dioxide (NO2)","Southeast Queens","UHF42","2014-12-01","22.7"
"Nitrogen dioxide (NO2)","Southeast Queens","UHF42","2017-01-01","16.4"
"Nitrogen dioxide (NO2)","Southeast Queens","UHF42","2021-01-01","14.3"
"Nitrogen dioxide (NO2)","Coney Island - Sheepshead Bay","UHF42","2011-12-01","17.2"
"Nitrogen dioxide (NO2)","Southeast Queens","UHF42","2011-12-01","17.3"
"Nitrogen dioxide (NO2)","Southeast Queens","UHF42","2022-06-01","9.8"
"Nitrogen dioxide (NO2)","High Bridge - Morrisania","UHF42","2018-01-01","20.8"
"Nitrogen dioxide (NO2)","High Bridge - Morrisania","UHF42","2021-06-01","14.2"
"Nitrogen dioxide (NO2)","Bensonhurst - Bay Ridge","UHF42","2013-06-01","14"
"Nitrogen dioxide (NO2)","Rockaways","UHF42","2018-01-01","10.5"
