"name","geo_place_name","geo_type_name","start_date","data_value"
"Ozone (O3)","Upper East Side-Gramercy","UHF34","2014-06-01","24.9"
"Ozone (O3)","Fordham - Bronx Pk","UHF34","2014-06-01","30.7"
"Ozone (O3)","East New York","UHF34","2014-06-01","32"
"Ozone (O3)","Pelham - Throgs Neck","UHF34","2014-06-01","31.9"
"Ozone (O3)","Chelsea-Village","UHF34","2014-06-01","25.3"
"Ozone (O3)","Flushing - Clearview","UHF34","2014-06-01","32"
"Ozone (O3)","Greenwich Village - SoHo","UHF42","2016-06-01","30"
"Ozone (O3)","Brooklyn","Borough","2016-06-01","34"
"Ozone (O3)","East Flatbush - Flatbush","UHF42","2011-06-01","32.7"
"Ozone (O3)","Canarsie - Flatlands","UHF42","2016-06-01","35.8"
"Ozone (O3)","Hunts Point - Mott Haven","UHF42","2011-06-01","33.4"
"Ozone (O3)","Bronx","Borough","2010-06-01","33.2"
"Ozone (O3)","Southwest Queens","UHF42","2016-06-01","34.3"
"Ozone (O3)","Bensonhurst (CD11)","CD","2010-06-01","34.9"
"Ozone (O3)","Bensonhurst (CD11)","CD","2011-06-01","34.5"
"Ozone (O3)","East Harlem (CD11)","CD","2016-06-01","31.7"
"Ozone (O3)","Kew Gardens and Woodhaven (CD9)","CD","2011-06-01","32.8"
"Ozone (O3)","Kew Gardens and Woodhaven (CD9)","CD","2010-06-01","33.2"
"Ozone (O3)","Morningside Heights and Hamilton Heights (CD9)","CD","2010-06-01","29.6"
"Ozone (O3)","Morningside Heights and Hamilton Heights (CD9)","CD","2011-06-01","29.2"
"Ozone (O3)","East Harlem (CD11)","CD","2010-06-01","30.6"
"Ozone (O3)","Bensonhurst (CD11)","CD","2012-06-01","34.9"
"Ozone (O3)","Kew Gardens and Woodhaven (CD9)","CD","2012-06-01","33.2"
"Ozone (O3)","Kew Gardens and Woodhaven (CD9)","CD","2013-06-01","30.8"
"Ozone (O3)","Morningside Heights and Hamilton Heights (CD9)","CD","2013-06-01","28.3"
"Ozone (O3)","East Harlem (CD11)","CD","2013-06-01","28.9"
"Ozone (O3)","Morris Park and Bronxdale (CD11)","CD","2021-06-01","30.3"
"Ozone (O3)","Downtown - Heights - Slope","UHF42","2010-06-01","30.9"
"Ozone (O3)","Downtown - Heights - Slope","UHF42","2016-06-01","32"
"Ozone (O3)","Northeast Bronx","UHF42","2010-06-01","34"
"Ozone (O3)","Queens","Borough","2021-06-01","30.9"
"Ozone (O3)","Coney Island (CD13)","CD","2010-06-01","37.4"
"Ozone (O3)","Coney Island (CD13)","CD","2011-06-01","37.5"
"Ozone (O3)","Coney Island (CD13)","CD","2013-06-01","34.6"
"Ozone (O3)","Manhattan","Borough","2011-06-01","27.3"
"Ozone (O3)","Rockaways","UHF42","2011-06-01","39"
"Ozone (O3)","Rockaways","UHF42","2010-06-01","39"
"Ozone (O3)","Manhattan","Borough","2016-06-01","30.3"
"Ozone (O3)","Southeast Queens","UHF42","2016-06-01","34.3"
"Ozone (O3)","Coney Island - Sheepshead Bay","UHF42","2010-06-01","36.5"
"Ozone (O3)","Coney Island - Sheepshead Bay","UHF42","2011-06-01","36.6"
"Ozone (O3)","Downtown - Heights - Slope","UHF42","2013-06-01","28"
"Ozone (O3)","Downtown - Heights - Slope","UHF42","2012-06-01","30.7"
"Ozone (O3)","East New York and Starrett City (CD5)","CD","2011-06-01","33.9"
"Ozone (O3)","Fordham and University Heights (CD5)","CD","2016-06-01","32.1"
"Ozone (O3)","Central Harlem - Morningside Heights","UHF42","2019-06-01","27.1"
"Ozone (O3)","Northeast Bronx","UHF42","2015-06-01","29.9"
"Ozone (O3)","Upper West Side","UHF42","2016-06-01","30.5"
"Ozone (O3)","East New York","UHF42","2016-06-01","34.3"
"Ozone (O3)","Staten Island","Borough","2016-06-01","35.1"
"Ozone (O3)","Fordham - Bronx Pk","UHF42","2011-06-01","32.1"
"Ozone (O3)","Fordham - Bronx Pk","UHF42","2010-06-01","32.5"
"Ozone (O3)","Manhattan","Borough","2013-06-01","26.3"
"Ozone (O3)","Lower Manhattan","UHF42","2013-06-01","24.3"
"Ozone (O3)","Mott Haven and Melrose (CD1)","CD","2016-06-01","32.8"
"Ozone (O3)","Kingsbridge - Riverdale","UHF42","2011-06-01","31.2"
"Ozone (O3)","Fort Greene and Brooklyn Heights (CD2)","CD","2010-06-01","30.5"
"Ozone (O3)","Financial District (CD1)","CD","2021-06-01","28"
"Ozone (O3)","Manhattan","Borough","2019-06-01","25.9"
"Ozone (O3)","Southeast Queens","UHF42","2015-06-01","32.5"
"Ozone (O3)","Southeast Queens","UHF42","2019-06-01","33.4"
"Ozone (O3)","Rockaways","UHF42","2019-06-01","37.4"
"Ozone (O3)","Pelham - Throgs Neck","UHF42","2021-06-01","30.3"
"Ozone (O3)","Upper West Side (CD7)","CD","2010-06-01","28.7"
"Ozone (O3)","Upper West Side (CD7)","CD","2011-06-01","27.9"
"Ozone (O3)","Upper East Side","UHF42","2012-06-01","29.2"
"Ozone (O3)","Sunset Park","UHF42","2012-06-01","32.3"
"Ozone (O3)","Upper East Side","UHF42","2013-06-01","26.3"
"Ozone (O3)","Upper East Side","UHF42","2021-06-01","27.8"
"Ozone (O3)","Fordham - Bronx Pk","UHF42","2013-06-01","30.8"
"Ozone (O3)","Upper West Side (CD7)","CD","2012-06-01","30.2"
"Ozone (O3)","Upper West Side (CD7)","CD","2013-06-01","26.9"
"Ozone (O3)","East New York","UHF42","2019-06-01","32.6"
"Ozone (O3)","East New York","UHF42","2015-06-01","32.6"
"Ozone (O3)","Staten Island","Borough","2015-06-01","32.6"
"Ozone (O3)","Mott Haven and Melrose (CD1)","CD","2015-06-01","30.8"
"Ozone (O3)","Greenpoint and Williamsburg (CD1)","CD","2015-06-01","31"
"Ozone (O3)","Greenpoint and Williamsburg (CD1)","CD","2019-06-01","27.9"
"Ozone (O3)","Bayside and Little Neck (CD11)","CD","2019-06-01","31.8"
"Ozone (O3)","Morris Park and Bronxdale (CD11)","CD","2015-06-01","30.5"
"Ozone (O3)","Park Slope and Carroll Gardens (CD6)","CD","2011-06-01","29.9"
"Ozone (O3)","Park Slope and Carroll Gardens (CD6)","CD","2010-06-01","31.3"
"Ozone (O3)","Riverdale and Fieldston (CD8)","CD","2016-06-01","32.5"
"Ozone (O3)","Stuyvesant Town and Turtle Bay (CD6)","CD","2016-06-01","28.2"
"Ozone (O3)","Rego Park and Forest Hills (CD6)","CD","2010-06-01","32.5"
"Ozone (O3)","Rego Park and Forest Hills (CD6)","CD","2011-06-01","32.2"
"Ozone (O3)","Park Slope and Carroll Gardens (CD6)","CD","2012-06-01","31"
"Ozone (O3)","Crown Heights and Prospect Heights (CD8)","CD","2021-06-01","29.9"
"Ozone (O3)","Stuyvesant Town and Turtle Bay (CD6)","CD","2012-06-01","25.5"
"Ozone (O3)","Stuyvesant Town and Turtle Bay (CD6)","CD","2013-06-01","23.1"
"Ozone (O3)","Upper East Side","UHF42","2015-06-01","28.1"
"Ozone (O3)","Belmont and East Tremont (CD6)","CD","2019-06-01","29.5"
"Ozone (O3)","Stuyvesant Town and Turtle Bay (CD6)","CD","2019-06-01","24.6"
"Ozone (O3)","Kingsbridge - Riverdale","UHF42","2012-06-01","33.7"
"Ozone (O3)","Jamaica and Hollis (CD12)","CD","2011-06-01","33"
"Ozone (O3)","Jamaica and Hollis (CD12)","CD","2010-06-01","33.7"
"Ozone (O3)","Upper East Side (CD8)","CD","2016-06-01","30.1"
"Ozone (O3)","Central Harlem (CD10)","CD","2016-06-01","31.4"
"Ozone (O3)","Williamsbridge and Baychester (CD12)","CD","2011-06-01","33.2"
"Ozone (O3)","Williamsbridge and Baychester (CD12)","CD","2010-06-01","33.8"
"Ozone (O3)","Throgs Neck and Co-op City (CD10)","CD","2010-06-01","35"
"Ozone (O3)","Jamaica and Hollis (CD12)","CD","2012-06-01","33.9"
"Ozone (O3)","Williamsbridge and Baychester (CD12)","CD","2021-06-01","30.3"
"Ozone (O3)","Washington Heights and Inwood (CD12)","CD","2012-06-01","32.8"
"Ozone (O3)","Central Harlem (CD10)","CD","2021-06-01","28.6"
"Ozone (O3)","Washington Heights and Inwood (CD12)","CD","2021-06-01","27.6"
"Ozone (O3)","Port Richmond","UHF42","2019-06-01","27.3"
"Ozone (O3)","Kingsbridge - Riverdale","UHF42","2015-06-01","28.7"
"Ozone (O3)","Greenpoint","UHF42","2019-06-01","27.8"
"Ozone (O3)","Kingsbridge - Riverdale","UHF42","2019-06-01","28.4"
"Ozone (O3)","Long Island City - Astoria","UHF42","2019-06-01","28.4"
"Ozone (O3)","Upper East Side (CD8)","CD","2015-06-01","28"
"Ozone (O3)","Bay Ridge and Dyker Heights (CD10)","CD","2019-06-01","29.7"
"Ozone (O3)","Upper West Side","UHF34","2016-06-01","30.5"
"Ozone (O3)","Pelham - Throgs Neck","UHF34","2016-06-01","33.6"
"Ozone (O3)","Fordham - Bronx Pk","UHF34","2010-06-01","32.5"
"Ozone (O3)","East New York","UHF34","2016-06-01","34.3"
