"name","geo_place_name","geo_type_name","start_date","data_value"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Gramercy Park - Murray Hill","UHF42","2012-01-02","8.9"
"Respiratory hospitalizations due to PM2.5 (age 20+)","East Flatbush - Flatbush","UHF42","2009-01-01","10.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Greenwich Village - SoHo","UHF42","2012-01-02","5.3"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Jamaica","UHF42","2015-01-01","10.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Bronx","Borough","2015-01-01","19.6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Hunts Point - Mott Haven","UHF42","2012-01-02","25.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","East Flatbush - Flatbush","UHF42","2015-01-01","9.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Northeast Bronx","UHF42","2009-01-01","18.6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Chelsea - Clinton","UHF42","2009-01-01","9"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Chelsea - Clinton","UHF42","2012-01-02","9.4"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Fresh Meadows","UHF42","2015-01-01","8.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Downtown - Heights - Slope","UHF42","2012-01-02","10.2"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Central Harlem - Morningside Heights","UHF42","2015-01-01","14.9"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Williamsburg - Bushwick","UHF42","2015-01-01","11"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Rockaways","UHF42","2012-01-02","10.2"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Southeast Queens","UHF42","2009-01-01","10"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Rockaways","UHF42","2009-01-01","18.8"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Southeast Queens","UHF42","2005-01-01","13"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Bensonhurst - Bay Ridge","UHF42","2017-01-01","6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Coney Island - Sheepshead Bay","UHF42","2012-01-02","13.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Southeast Queens","UHF42","2012-01-02","6.9"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Southeast Queens","UHF42","2015-01-01","8.2"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Union Square - Lower East Side","UHF42","2012-01-02","12"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Manhattan","Borough","2012-01-02","10.9"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Coney Island - Sheepshead Bay","UHF42","2015-01-01","14.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Williamsburg - Bushwick","UHF42","2012-01-02","15.9"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Pelham - Throgs Neck","UHF42","2009-01-01","19.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","East New York","UHF42","2015-01-01","13.2"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Staten Island","Borough","2012-01-02","13.6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Crotona -Tremont","UHF42","2012-01-02","20.8"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Flushing - Clearview","UHF42","2009-01-01","11.3"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Crotona -Tremont","UHF42","2009-01-01","25.1"
"Respiratory hospitalizations due to PM2.5 (age 20+)","East Harlem","UHF42","2009-01-01","29.2"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Sunset Park","UHF42","2009-01-01","12.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Upper East Side","UHF42","2012-01-02","8.4"
"Respiratory hospitalizations due to PM2.5 (age 20+)","East Harlem","UHF42","2015-01-01","20.3"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Bedford Stuyvesant - Crown Heights","UHF42","2015-01-01","12.4"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Sunset Park","UHF42","2012-01-02","9.4"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Fordham - Bronx Pk","UHF42","2012-01-02","17.1"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Kingsbridge - Riverdale","UHF42","2015-01-01","14.8"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Fordham - Bronx Pk","UHF42","2009-01-01","20.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Crotona -Tremont","UHF42","2005-01-01","33.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Upper East Side","UHF42","2005-01-01","11.1"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Sunset Park","UHF42","2005-01-01","17.2"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Fordham - Bronx Pk","UHF42","2005-01-01","28.1"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Upper East Side","UHF42","2015-01-01","6.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Greenpoint","UHF42","2017-01-01","4"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Washington Heights","UHF42","2017-01-01","6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Kingsbridge - Riverdale","UHF42","2005-01-01","28.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Washington Heights","UHF42","2012-01-02","10.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Manhattan","Borough","2015-01-01","9.6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Union Square - Lower East Side","UHF42","2015-01-01","10.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Borough Park","UHF42","2009-01-01","11.8"
"Respiratory hospitalizations due to PM2.5 (age 20+)","High Bridge - Morrisania","UHF42","2009-01-01","27.6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Manhattan","Borough","2009-01-01","12.6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Borough Park","UHF42","2017-01-01","6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Coney Island - Sheepshead Bay","UHF42","2017-01-01","10"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Lower Manhattan","UHF42","2012-01-02","6.1"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Lower Manhattan","UHF42","2015-01-01","6.6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Manhattan","Borough","2005-01-01","18.3"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Central Harlem - Morningside Heights","UHF42","2005-01-01","30.6"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Downtown - Heights - Slope","UHF42","2005-01-01","20.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Northeast Bronx","UHF42","2017-01-01","10"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Williamsburg - Bushwick","UHF42","2017-01-01","8"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Upper West Side","UHF42","2017-01-01","5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","East New York","UHF42","2017-01-01","9"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Staten Island","Borough","2017-01-01","10"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Staten Island","Borough","2005-01-01","17.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","West Queens","UHF42","2017-01-01","5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Queens","Borough","2009-01-01","11.4"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Queens","Borough","2017-01-01","5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Queens","Borough","2012-01-02","8.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Queens","Borough","2005-01-01","15.7"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Long Island City - Astoria","UHF42","2012-01-02","9.8"
"Respiratory hospitalizations due to PM2.5 (age 20+)","High Bridge - Morrisania","UHF42","2012-01-02","23.5"
"Respiratory hospitalizations due to PM2.5 (age 20+)","High Bridge - Morrisania","UHF42","2015-01-01","25.8"
"Respiratory hospitalizations due to PM2.5 (age 20+)","Rockaways","UHF42","2015-01-01","16.9"
